"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9197954","1","1","M","28","6","1","L","-","0","2020-00054250"
"91186576","2","4","M","28","6","1","-","V","1","9370-2020-00430"
"9099819","2","1","M","30","6","1","P","W","-","2020-00012158"
"9090334","2","1","F","40","6","1","M","G","-","2020-00010998"
"9090784","2","3","M","40","6","-","P","-","-","2020-00006571"
"9188129","1","2","F","25","3","3","B","G","0","2020-00048073"
"9188129","1","1","M","25","3","1","M","G","0","2020-00048073"
"9201541","1","1","M","27","6","1","M","G","0","2020-00050998"
"91188049","2","2","F","44","6","3","M","G","0","9370-2020-00476"
"91241803","2","2","F","17","7","6","L","H","0","9370-2020-01241"
"9049291","2","1","M","60","7","1","M","Q","0","2020-00002759"
"9049296","2","4","M","60","6","9","P","W","1","2020-00005874"
"9049308","1","1","F","78","4","9","-","-","3","2020-00005060"
"9049311","2","3","F","21","3","9","P","-","3","2020-00000337"
"9060084","1","1","F","37","5","1","L","G","0","2020-00004451"
"9060084","1","2","M","39","5","3","L","H","0","2020-00004451"
"9060084","1","2","F","14","5","6","L","H","0","2020-00004451"
"9060084","1","2","F","4","5","5","L","G","0","2020-00004451"
"9099225","1","3","F","32","4","-","-","-","-","2020-00013803"
"91345454","1","1","M","26","6","1","L","G","0","9370-2020-02782"
"9136422","2","4","M","34","6","-","P","W","0","2020-00027689"
"9084659","2","3","M","26","6","9","M","A","0","2020-00010952"
"9137808","2","1","M","82","3","1","M","H","-","2020-00034601"
"9137818","1","4","M","16","3","-","P","-","0","2020-00031605"
"9099818","1","4","M","56","6","-","N","V","2","2020-00012262"
"9133063","1","2","F","27","0","3","M","B","0","2020-00030878"
"9190522","1","2","M","24","0","2","M","G","0","2020-00050384"
"9218269","1","1","M","19","6","1","M","G","0","2020-00056870"
"9218277","2","2","F","21","0","-","M","-","-","2020-00055697"
"9218280","2","3","F","22","7","-","-","-","-","2020-00055037"
"9137817","2","3","M","39","3","-","P","-","-","2020-00031430"
"91275395","1","1","M","18","5","1","L","G","0","9370-2020-01733"
"9102918","2","2","M","30","7","3","M","G","0","2020-00013550"
"9102918","2","2","-","998","7","9","-","-","3","2020-00013550"
"9116205","3","2","F","33","0","3","M","G","0","2020-00019830"
"9116205","1","1","M","24","7","1","L","G","0","2020-00019830"
"91200401","1","1","F","33","7","1","L","G","0","9370-2020-00664"
"91276703","1","3","M","30","1","0","-","-","-","9370-2020-01337"
"9090322","1","2","F","32","0","-","M","G","0","2020-00011157"
"9090322","1","2","F","0","0","-","M","Q","0","2020-00011157"
"9090322","1","1","M","31","6","1","M","G","0","2020-00011157"
"9090330","2","1","F","42","7","1","M","-","0","2020-00010975"
"9090330","2","2","F","64","0","3","M","-","0","2020-00010975"
"9090330","2","2","M","10","0","5","M","-","0","2020-00010975"
"9090331","2","1","F","24","7","1","L","G","0","2020-00011644"
"9035484","1","2","F","20","0","3","M","G","0","2020-00023763"
"9035484","1","2","F","18","0","4","M","G","0","2020-00023763"
"9035484","2","2","F","998","0","3","M","-","0","2020-00023763"
"9218262","1","2","F","23","6","6","M","G","0","2020-00058456"
"9218262","1","2","M","1","0","4","M","-","-","2020-00058456"
"9218262","2","2","F","19","0","3","L","-","-","2020-00058456"
"9218269","2","1","F","39","6","1","L","G","0","2020-00056870"
"9218277","1","3","M","46","6","-","-","-","-","2020-00055697"
"9218278","2","2","M","9","6","4","M","G","0","2020-00055330"
"9218278","2","2","F","11","0","-","M","-","-","2020-00055330"
"9090799","2","4","M","47","6","-","P","B","0","2020-00007404"
"9218734","1","2","M","26","0","2","P","G","0","2020-00056143"
"9218815","2","3","F","62","6","0","P","-","0","2020-00048394"
"91277363","2","1","F","30","6","1","M","G","0","9370-2020-01828"
"9102340","2","1","M","51","3","1","M","G","0","2020-00015506"
"9142067","2","1","M","46","3","1","P","G","0","2020-00032535"
"9142067","2","2","F","22","0","3","M","G","0","2020-00032535"
"9060083","2","2","M","40","0","3","-","-","3","2020-00003943"
"9060083","2","1","F","60","6","1","M","G","0","2020-00003943"
"9060084","2","1","F","42","5","1","L","G","0","2020-00004451"
"9190701","2","1","M","33","4","1","M","-","0","2020-00050102"
"9122600","1","4","M","17","6","-","P","W","-","2020-00025102"
"91379001","1","1","M","36","1","1","L","G","0","9370-2020-02024"
"9197954","2","1","M","65","6","1","L","B","0","2020-00054250"
"91309631","2","2","F","66","6","3","M","G","0","9370-2020-02324"
"9128448","2","1","F","70","6","1","M","P","0","2020-00029645"
"9221339","2","1","M","37","3","1","M","G","0","2020-00055490"
"9142733","2","1","F","68","6","1","L","E","0","2020-00031893"
"9142733","2","2","F","66","6","3","L","G","0","2020-00031893"
"9221284","2","1","F","44","3","1","P","W","-","2020-00059035"
"9221339","1","1","M","59","3","1","L","G","0","2020-00055490"
"91202821","2","1","M","41","7","1","M","G","0","9370-2020-00770"
"9087649","2","1","M","27","6","1","L","G","0","2020-00006335"
"9128658","2","2","F","71","6","2","M","G","0","2020-00028440"
"9049323","1","4","M","43","6","9","P","-","3","2020-00000856"
"9122357","1","2","F","20","0","3","M","G","0","2020-00023716"
"9122357","2","1","F","23","7","1","L","G","0","2020-00023716"
"9212634","1","2","M","998","0","3","M","G","-","2020-00052122"
"9122584","1","1","M","32","6","1","M","B","0","2020-00025911"
"9122596","1","1","M","32","6","1","L","-","0","2020-00023825"
